position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster / Line Occurrence Sequence for O/S Merge
2,y2_hhid,str8,0,%9s,,Unique Household Identification IHPS
3,qx_type,byte,1,%8.0g,HH_A02,"Sample Group (Panel A, Panel B)"
4,interview_status,byte,1,%24.0g,stat,Household Interview Status
5,ag_u201,byte,1,%8.0g,,What is 20 minus 13?
6,ag_u202,int,1,%12.0g,,What is 200 plus 500?
7,ag_u203,int,1,%8.0g,,What is 3 multiplied by 6?
8,ag_u204,int,1,%8.0g,,What is 400 divided by 10?
9,ag_u205,byte,1,%8.0g,AG_X205,ENUMERATOR: READ: 3-8-6. DID THE RESPONDENT ANSWER CORRECTLY?
10,ag_u206,byte,1,%8.0g,AG_X206,ENUMERATOR: READ: 6-1-2. DID THE RESPONDENT ANSWER CORRECTLY?
11,ag_u207,byte,1,%8.0g,AG_X207,ENUMERATOR: IS THE ANSWER TO X5 & X6 BOTH NO?
12,ag_u208,byte,1,%8.0g,AG_X208,ENUMERATOR: READ: 3-4-1-7. DID THE RESPONDENT ANSWER CORRECTLY?
13,ag_u209,byte,1,%8.0g,AG_X209,ENUMERATOR: READ: 6-1-5-8. DID THE RESPONDENT ANSWER CORRECTLY?
14,ag_u210,byte,1,%8.0g,AG_X210,ENUMERATOR: IS THE ANSWER TO X8 & X9 BOTH NO?
15,ag_u211,byte,1,%8.0g,AG_X211,ENUMERATOR: READ: 8-4-2-3-9. DID THE RESPONDENT ANSWER CORRECTLY?
16,ag_u212,byte,1,%8.0g,AG_X212,ENUMERATOR: READ: 5-2-1-8-6. DID THE RESPONDENT ANSWER CORRECTLY?
17,ag_u213,byte,1,%8.0g,AG_X213,ENUMERATOR: IS THE ANSWER TO BOTH X11 & X12 NO?
18,ag_u214,byte,1,%8.0g,AG_X214,ENUMERATOR: READ: 3-8-9-1-7-4. DID THE RESPONDENT ANSWER CORRECTLY?
19,ag_u215,byte,1,%8.0g,AG_X215,ENUMERATOR: READ: 7-9-6-4-8-3.  DID THE RESPONDENT ANSWER CORRECTLY?
20,ag_u216,byte,1,%8.0g,AG_X216,ENUMERATOR: IS THE ANSWER TO X14 and X15 BOTH NO?
21,ag_u217,byte,1,%8.0g,AG_X217,ENUMERATOR: READ: 5-1-7-4-2-3-8. DID THE RESPONDENT ANSWER CORRECTLY?
22,ag_u218,byte,1,%8.0g,AG_X218,ENUMERATOR: READ: 9-8-5-2-1-6-3. DID THE RESPONDENT ANSWER CORRECTLY?
23,ag_u219,byte,1,%8.0g,AG_X219,ENUMERATOR: READ: 2-5. (ANS: 5-2). DID THE RESPONDENT ANSWER CORRECTLY?
24,ag_u220,byte,1,%8.0g,AG_X220,ENUMERATOR: READ: 3-6. (ANS: 6-3). DID THE RESPONDENT ANSWER CORRECTLY?
25,ag_u221,byte,1,%8.0g,AG_X221,ENUMERATOR: IS THE ANSWER TO X19 & X20 BOTH NO?
26,ag_u222,byte,1,%8.0g,AG_X222,ENUMERATOR: READ: 5-7-4. (ANS: 4-7-5.) DID THE RESPONDENT ANSWER CORRECTLY?
27,ag_u223,byte,1,%8.0g,AG_X223,ENUMERATOR: READ: 2-5-9. (ANS: 9-5-2.) DID THE RESPONDENT ANSWER CORRECTLY?
28,ag_u224,byte,1,%8.0g,AG_X224,ENUMERATOR: IS THE ANSWER TO X22 and X23 BOTH NO?
29,ag_u225,byte,1,%8.0g,AG_X225,ENUMERATOR: READ: 7-2-9-6. (ANS: 6-9-2-7.) DID THE RESPONDENT ANSWER CORRECTLY?
30,ag_u226,byte,1,%8.0g,AG_X226,ENUMERATOR: READ: 8-4-9-3. (ANS: 3-9-4-8.) DID THE RESPONDENT ANSWER CORRECTLY?
31,ag_u227,byte,1,%8.0g,AG_X227,ENUMERATOR: IS THE ANSWER TO X25 and X26 BOTH NO?
32,ag_u228,byte,1,%8.0g,AG_X228,ENUMERATOR: READ: 4-1-3-5-7. (ANS: 7-5-3-1-4.) DID THE RESPONDENT ANSWER CORRECT
33,ag_u229,byte,1,%8.0g,AG_X229,ENUMERATOR: READ: 9-7-8-5-2. (ANS: 2-5-8-7-9.) DID THE RESPONDENT ANSWER CORRECT
34,ag_u230,byte,1,%8.0g,AG_X230,ENUMERATOR: IS THE ANSWER TO X28 and X29 BOTH NO?
35,ag_u231,byte,1,%8.0g,AG_X231,ENUMERATOR: READ: 1-6-5-2-9-8. (ANS: 8-9-2-5-6-1.) DID THE RESPONDENT ANSWER COR
36,ag_u232,byte,1,%8.0g,AG_X232,ENUMERATOR: READ: 3-6-7-1-9-4. ANS: 4-9-1-7-6-3.) DID THE RESPONDENT ANSWER CORR
